fullcurrname,CAS_SPC
Cyprinion milesi,2068
Devario malabaricus,2069
Dionda diaboli,2070
Ptychobarbus kaznakovi,2072
Engraulicypris sardella,2074
Chanodichthys dabryi,2075
Chanodichthys erythropterus,2077
Chanodichthys mongolicus,2078
Garra congoensis,2081
Garra dembeensis,2082
Garra dembeensis,2083
Garra dembeensis,2084
Garra vinciguerrae,2085
Garra hindii,2086
Garra lancrenonensis,2089
Garra makiensis,2090
Garra makiensis,2091
Garra orientalis,2094
Garra ornata,2095
Garra ornata,2096
Garra ornata,2097
Garra waterloti,2098
Garra waterloti,2099
Garra persica,2100
Garra quadrimaculata,2101
Garra quadrimaculata,2102
Garra blanfordii,2103
Garra aethiopica,2104
Garra rossica,2105
Garra nudiventris,2106
Garra wanae,2107
Garra rufa,2108
Garra rufa,2109
Garra annandalei,2110
Garra tibanica,2111
Garra tibanica,2112
Garra trewavasae,2113
Siphateles alvordensis,2114
Gila atraria,2115
Siphateles bicolor,2117
Siphateles bicolor,2118
Siphateles bicolor,2120
Siphateles bicolor,2124
Siphateles boraxobius,2125
Gila coerulea,2126
Gila crassicauda,2128
Gila cypha,2129
Gila ditaenia,2130
Gila elegans,2131
Gila pandora,2135
Gila purpurea,2136
Gila robusta,2137
Gnathopogon caerulescens,2139
Gobiobotia kolleri,2141
Gobiobotia longibarba,2142
Gobiobotia tungi,2143
Schizopygopsis przewalskii,2144
Schizopygopsis waddellii,2145
Hemibarbus labeo,2146
Hemibarbus labeo,2147
Hemibarbus longirostris,2148
Hemibarbus maculatus,2149
Hybognathus argyritis,2151
Hybognathus hankinsoni,2152
Hybognathus hayi,2153
Hybognathus nuchalis,2154
Hybognathus placitus,2155
Hybognathus regius,2156
Macrhybopsis aestivalis,2157
